Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
		Khar	game/options.rpy	16
		Добро пожаловать в Кхар, Город Ловушек — мрачные ворота в таинственные земли Бакланда, через которые лежит ваш единственный путь. Это опасное место, кишащее отребьем, ворами и злыми существами, где жизнь стоит дешевле медной монеты. Каждый переулок таит в себе угрозу, а каждая встреча — это испытание вашей силы, хитрости и удачи. Вам предстоит делать непростой выбор: довериться странному старику, выпить с подозрительным незнакомцем или обнажить меч против тех, кто встанет на пути. Ваша главная цель — найти четыре строки древнего заклинания, чтобы открыть Северные Врата, но выжить в этом городе хаоса будет не менее сложной задачей.	game/options.rpy	35
		Назад	game/screens.rpy	495
		История	game/screens.rpy	496
		Пропуск	game/screens.rpy	497
		Авто	game/screens.rpy	498
		Сохранить	game/screens.rpy	499
		Б.Сохр	game/screens.rpy	500
		Б.Загр	game/screens.rpy	501
		Опции	game/screens.rpy	502
		Начать	game/screens.rpy	543
		Загрузить	game/screens.rpy	551
		Настройки	game/screens.rpy	553
		Завершить повтор	game/screens.rpy	557
		Главное меню	game/screens.rpy	561
		Об игре	game/screens.rpy	563
		Помощь	game/screens.rpy	568
		Выход	game/screens.rpy	574
		Вернуться	game/screens.rpy	720
		Версия [config.version!t]\n	game/screens.rpy	803
		Сделано с помощью Ren'Py [renpy.version_only].\n\n[renpy.license!t]	game/screens.rpy	809
		 страница	game/screens.rpy	844
		Автосохранения	game/screens.rpy	844
		Быстрые сохранения	game/screens.rpy	844
		%A, %d %B %Y, %H:%M	game/screens.rpy	887
		Пустой слот	game/screens.rpy	887
		<	game/screens.rpy	907
		А	game/screens.rpy	911
		Б	game/screens.rpy	914
		>	game/screens.rpy	920
		Загрузить Sync	game/screens.rpy	925
		Скачать Sync	game/screens.rpy	929
		Режим экрана	game/screens.rpy	987
		Оконный	game/screens.rpy	988
		Полный	game/screens.rpy	989
		Всего текста	game/screens.rpy	994
		После выборов	game/screens.rpy	995
		Переходов	game/screens.rpy	996
		Скорость текста	game/screens.rpy	1009
		Скорость авточтения	game/screens.rpy	1013
		Громкость музыки	game/screens.rpy	1020
		Громкость звуков	game/screens.rpy	1027
		Тест	game/screens.rpy	1033
		Громкость голоса	game/screens.rpy	1037
		Без звука	game/screens.rpy	1048
		История диалогов пуста.	game/screens.rpy	1168
		Клавиатура	game/screens.rpy	1236
		Мышь	game/screens.rpy	1237
		Геймпад	game/screens.rpy	1240
		Enter	game/screens.rpy	1253
		Прохождение диалогов, активация интерфейса.	game/screens.rpy	1254
		Пробел	game/screens.rpy	1257
		Прохождение диалогов без возможности делать выбор.	game/screens.rpy	1258
		Стрелки	game/screens.rpy	1261
		Навигация по интерфейсу.	game/screens.rpy	1262
		Esc	game/screens.rpy	1265
		Вход в игровое меню.	game/screens.rpy	1266
		Ctrl	game/screens.rpy	1269
		Пропускает диалоги, пока зажат.	game/screens.rpy	1270
		Tab	game/screens.rpy	1273
		Включает режим пропуска.	game/screens.rpy	1274
		Page Up	game/screens.rpy	1277
		Откат назад по сюжету игры.	game/screens.rpy	1278
		Page Down	game/screens.rpy	1281
		Откатывает предыдущее действие вперёд.	game/screens.rpy	1282
		Скрывает интерфейс пользователя.	game/screens.rpy	1286
		Делает снимок экрана.	game/screens.rpy	1290
		Включает поддерживаемый синтезатор речи.	game/screens.rpy	1294
		Открывает меню специальных возможностей.	game/screens.rpy	1298
		Левый клик	game/screens.rpy	1304
		Клик колёсиком	game/screens.rpy	1308
		Правый клик	game/screens.rpy	1312
		Колёсико вверх	game/screens.rpy	1316
		Колёсико вниз	game/screens.rpy	1320
		Правый триггер\nA/Нижняя кнопка	game/screens.rpy	1327
		Левый Триггер\nЛевый Бампер	game/screens.rpy	1331
		Правый бампер	game/screens.rpy	1335
		Крестовина, Стики	game/screens.rpy	1339
		Старт, Гид, B/Правая кнопка	game/screens.rpy	1343
		Y/Верхняя кнопка	game/screens.rpy	1347
		Калибровка	game/screens.rpy	1350
		Да	game/screens.rpy	1415
		Нет	game/screens.rpy	1416
		Пропускаю	game/screens.rpy	1462
		Меню	game/screens.rpy	1774
		Страж городских ворот	game/script.rpy	70
		Игрок	game/script.rpy	71
		Система	game/script.rpy	72
		Старец	game/script.rpy	73
		Черный эльф	game/script.rpy	74
		Ход боя	game/script.rpy	75
		Свинн-мастер	game/script.rpy	76
		Обитатель дома	game/script.rpy	77
		Орклинги	game/script.rpy	78
		Заросший щетиной мужчина	game/script.rpy	79
		Кто-то из тольпы	game/script.rpy	80
		Зазывала при ринге	game/script.rpy	81
		Юноша-странник	game/script.rpy	82
		Неопрятный бородач	game/script.rpy	83
		Букмекер	game/script.rpy	84
		Один из малышей орклингов	game/script.rpy	85
		Горожанка	game/script.rpy	86
		Торговец	game/script.rpy	87
		Спрайт	game/script.rpy	88
		Пикси	game/script.rpy	89
		Ученый и исследователь	game/script.rpy	90
		Трактирщик	game/script.rpy	91
		Прихожанка	game/script.rpy	92
		Жрец	game/script.rpy	93
		Матрос	game/script.rpy	94
		Художник	game/script.rpy	95
		Заклинатель огня	game/script.rpy	96
		Эльвин	game/script.rpy	97
		Странное существо с закрытыми глазами	game/script.rpy	98
		Старик из гроба	game/script.rpy	99
		Маленький бородатый гном	game/script.rpy	100
		Нищий	game/script.rpy	101
		Надпись на табличке	game/script.rpy	102
		Городской стражник	game/script.rpy	103
		Идол	game/script.rpy	104
		Ворота	game/script.rpy	105
		Старший Дозорный в Форпостном Городке	game/script.rpy	106
		Женский голос из колодца	game/script.rpy	107
		Незнакомец за спиной	game/script.rpy	108
		Охранник игорных залов	game/script.rpy	109
start_de1ffaee	narrator	Кхар – место, где правит хаос. Этот город - ворота в Бакланд.	game/script.rpy	229	narrator "[what]"
start_fe26d71e	narrator	Кхар расположен у подножия Холмов Шамутанти, на берегу стремительно текущей великой реки Джабаджи	game/script.rpy	233	narrator "[what]"
start_e0398acc	e	Вы останавливаетесь на середине спуска, чтобы осмотреться	game/script.rpy	235	e "[what]"
start_750e8f5e	e	Легенда гласит, что Кхар возник много лет назад, как приют пилигримов рядом с единственной удобной переправой на реке. Но это не слишком правдоподобная история.	game/script.rpy	240	e "[what]"
start_950b8dbb	e	Вы больше верите в то, что на этом месте изначально было логово речных пиратов, всевозможных злодеев и головорезов	game/script.rpy	245	e "[what]"
start_4230c0df	e	Ходят слухи, что этот сброд не брезговал помощью всякой нечести	game/script.rpy	250	e "[what]"
start_340006cb	e	Вы верите в эту легенду потому, что с виду мирный город наполнен ловушками для противостояния злым существам	game/script.rpy	259	e "[what]"
start_4f3fd2c1	e	Именно поэтому Кхар получил прозвище Город Ловушек	game/script.rpy	270	e "[what]"
start_a74c5fe9	e	Цель вашей миссии лежит далеко за пределами Кхара, и, зная его репутацию, вы бы предпочли не проходить через это место. Но иного пути нет!	game/script.rpy	272	e "[what]"
start_40630bfd	e	Только двое ворот соединяют Кхар с остальным миром. Перед вами Южные Врата - единственный вход со стороны реки. На противоположной стороне города находятся Северные Врата – путь в Бакланд.	game/script.rpy	278	e "[what]"
start_912670f4	e	Вы громко стучите, чтобы привлечь внимание стражи	game/script.rpy	283	e "[what]"
start_dc0bcae7	g	Кто идёт?	game/script.rpy	292	g "[what]"
start_73c139bf	i	Я Бондис из Дампуса. Иду навестить отца.	game/script.rpy	294	i "[what]"
